ENTREZID;CDSeq_estimated_cell_type_1;CDSeq_estimated_cell_type_2;CDSeq_estimated_cell_type_3;CDSeq_estimated_cell_type_4;CDSeq_estimated_cell_type_5;CDSeq_estimated_cell_type_6
80724;6,26E+09;2,32E+09;1,72E+08;2,46E+09;2,22E+07;1,05E+09
84129;2,41E+09;3,49E+09;4,84E+09;1,03E+09;1,53E+09;2,04E+07
27034;8,20E+08;2,16E+08;1,91E+07;5,53E+08;1,55E+08;4,69E+08
28976;7,73E+07;2,78E+08;9,56E+07;6,64E+07;2,88E+08;2,75E+09
33;7,03E+05;1,27E+09;9,56E+07;1,11E+07;1,26E+09;2,04E+07
34;2,34E+07;5,26E+08;5,16E+08;1,55E+08;2,44E+08;3,87E+08
35;2,09E+09;5,87E+08;9,75E+07;1,55E+08;3,44E+09;6,18E+09
36;2,11E+07;9,27E+07;2,10E+07;1,13E+09;2,22E+07;1,02E+08
37;7,73E+07;1,51E+09;9,56E+07;5,09E+08;1,53E+09;3,98E+09
176;1,07E+08;4,73E+09;2,01E+09;3,32E+07;6,65E+07;1,10E+09
9744;1,13E+09;2,01E+09;4,03E+09;3,21E+09;1,55E+08;1,06E+09
23527;1,15E+09;1,52E+09;1,26E+09;1,06E+09;9,43E+09;4,42E+09
116983;2,32E+09;8,96E+08;1,72E+08;1,39E+09;9,09E+08;3,53E+09
38;7,03E+05;2,78E+08;3,38E+09;2,44E+08;7,25E+09;1,43E+08
39;5,86E+08;5,26E+08;5,54E+08;1,79E+09;1,09E+09;2,04E+07
64746;2,84E+09;1,27E+09;1,01E+09;1,57E+09;2,59E+09;4,28E+08
79777;1,48E+09;2,78E+08;2,08E+09;6,42E+08;2,22E+07;1,43E+08
91452;4,92E+07;3,09E+07;4,01E+08;3,25E+09;4,95E+09;2,22E+09
84320;1,80E+09;9,27E+07;1,91E+07;1,48E+09;2,11E+09;4,71E+09
84680;6,59E+09;5,87E+08;4,01E+08;5,09E+08;2,20E+09;6,32E+07
65057;6,33E+07;9,27E+07;1,91E+07;3,32E+07;2,22E+07;2,04E+07
1636;9,14E+07;1,21E+09;4,78E+08;1,55E+08;9,54E+07;1,28E+09
59272;3,05E+08;3,09E+07;4,01E+08;6,64E+07;2,22E+07;5,91E+08
125981;1,20E+09;1,55E+08;4,01E+08;3,32E+07;1,11E+07;1,45E+09
340485;2,11E+07;2,19E+09;5,73E+07;2,44E+08;6,65E+07;1,84E+08
55331;1,44E+09;3,86E+09;2,84E+09;6,31E+09;1,36E+09;2,67E+09
43;5,51E+09;8,96E+08;1,47E+09;6,64E+07;1,75E+09;7,61E+09
22985;1,62E+09;1,14E+09;2,69E+09;2,88E+08;6,65E+07;2,43E+09
2532;2,27E+09;2,16E+08;7,45E+08;2,88E+08;7,32E+08;6,32E+07
1238;1,90E+09;2,16E+08;2,35E+09;6,64E+07;7,76E+08;3,41E+09
57007;9,61E+08;3,09E+07;3,04E+09;2,21E+06;5,10E+08;7,54E+07
51554;2,74E+09;1,55E+08;9,56E+07;5,53E+08;5,99E+08;1,02E+08
47;3,91E+09;1,05E+09;9,19E+09;1,53E+09;2,75E+09;2,57E+09
130013;1,17E+08;3,09E+07;1,34E+08;2,21E+06;2,88E+08;1,43E+08
48;2,32E+09;5,26E+08;1,09E+09;6,64E+07;2,00E+08;2,65E+08
50;2,23E+09;3,09E+07;1,91E+07;5,98E+08;1,18E+09;3,53E+09
730249;7,73E+07;3,09E+07;1,91E+07;6,64E+07;1,55E+08;3,06E+08
26027;6,87E+09;3,99E+09;5,64E+09;3,65E+09;2,06E+09;1,09E+09
134526;6,33E+07;3,09E+07;9,56E+07;2,21E+06;6,65E+07;6,12E+07
55856;1,24E+09;7,73E+08;2,12E+09;2,88E+08;2,22E+07;1,28E+09
10965;2,34E+07;3,09E+07;1,91E+07;9,96E+08;1,55E+08;1,43E+08
122970;2,11E+07;3,09E+07;2,10E+07;1,11E+07;6,43E+08;2,04E+07
641372;2,34E+07;3,40E+08;4,01E+08;2,21E+06;2,22E+07;2,04E+07
11332;1,27E+09;8,75E+09;3,80E+09;8,57E+09;6,41E+09;2,18E+09
10005;3,12E+08;3,09E+07;3,63E+08;1,08E+08;1,89E+09;5,10E+08
23597;2,34E+07;5,87E+08;7,07E+08;1,11E+07;6,65E+07;8,36E+08
51;4,29E+09;1,33E+09;1,91E+07;7,24E+09;5,54E+08;1,36E+09
8309;5,39E+08;9,27E+07;1,34E+08;1,55E+08;6,65E+07;3,47E+08
8310;3,21E+09;2,13E+09;5,92E+08;2,99E+09;3,77E+08;6,12E+07
55289;1,24E+09;3,09E+07;4,40E+08;2,21E+06;1,18E+09;7,14E+08
52;4,52E+08;6,09E+09;1,04E+09;1,27E+08;1,21E+09;1,21E+09
53;2,34E+07;1,64E+09;3,63E+08;2,21E+06;2,44E+08;1,12E+09
55;1,10E+09;1,55E+08;8,98E+08;2,44E+08;1,89E+09;2,24E+08
93650;9,91E+09;1,08E+09;3,23E+09;1,62E+09;5,54E+08;9,58E+08
54;1,34E+09;5,87E+08;2,48E+08;6,64E+07;1,55E+08;1,49E+09
51205;1,80E+09;6,49E+08;1,47E+09;2,44E+08;8,65E+08;2,43E+09
49;2,34E+07;3,09E+07;1,72E+08;1,11E+07;2,22E+07;1,12E+09
84519;5,84E+09;2,13E+09;4,78E+08;1,13E+09;5,10E+08;5,65E+09
56;3,87E+08;8,96E+08;2,87E+08;1,99E+08;1,04E+09;2,59E+09
23205;2,98E+09;1,55E+08;2,43E+09;2,19E+08;1,49E+09;1,98E+09
81616;2,34E+07;2,16E+08;2,48E+08;6,64E+07;1,11E+07;4,28E+08
80221;2,98E+09;3,09E+07;1,43E+09;5,09E+08;2,33E+09;1,20E+09
197322;2,51E+09;1,51E+09;5,64E+09;1,48E+09;2,22E+07;2,04E+07
2180;2,34E+07;4,05E+09;1,91E+07;1,75E+09;1,84E+09;9,99E+07
2181;9,07E+09;4,17E+09;1,09E+09;1,13E+09;8,58E+09;6,91E+09
2182;3,05E+08;1,68E+09;7,74E+09;5,09E+08;6,43E+08;3,51E+09
51703;2,98E+09;3,09E+07;7,07E+08;6,64E+07;1,84E+09;2,59E+09
23305;7,03E+05;3,40E+08;4,61E+09;1,03E+09;3,33E+08;9,07E+09
116285;1,01E+09;1,55E+08;5,73E+07;2,44E+08;1,11E+07;8,77E+06
123876;1,62E+09;1,55E+08;5,16E+08;1,55E+08;9,54E+07;1,69E+09
348158;3,05E+08;2,78E+08;1,91E+07;6,64E+07;2,00E+08;2,04E+07
6296;2,58E+08;9,27E+07;5,73E+07;3,32E+07;1,55E+08;1,20E+09
54988;1,52E+09;5,26E+08;1,91E+07;3,32E+07;7,76E+08;1,69E+09
84532;1,81E+09;3,68E+09;1,34E+09;1,99E+08;1,35E+09;8,38E+09
55902;3,35E+09;9,27E+07;3,63E+08;1,17E+09;1,55E+08;6,73E+08
79611;9,14E+07;3,09E+07;9,56E+07;2,21E+06;8,65E+08;4,28E+08
58;2,34E+07;9,27E+07;1,72E+08;2,21E+06;2,22E+07;1,33E+09
59;7,66E+09;1,14E+09;1,04E+09;6,64E+07;2,22E+07;2,04E+07
100132116;7,73E+07;5,26E+08;5,92E+08;8,63E+08;3,77E+08;3,87E+08
60;0.0168279011424382;0.0101281169857329;0.0204997985700384;0.0177740084928454;0.00756058604022761;0.0105061815340611
70;5,86E+08;5,26E+08;5,73E+07;6,64E+07;2,00E+08;2,04E+07
71;7,24E+09;4,29E+09;0.00173011901567637;0.00227463210731216;5,98E+09;1,02E+08
283693;4,92E+07;3,40E+08;4,01E+08;1,55E+08;1,11E+07;1,43E+08
148709;7,03E+05;1,55E+08;1,91E+07;6,64E+07;5,99E+08;2,24E+08
72;1,57E+09;1,55E+08;1,34E+08;2,21E+06;1,40E+08;6,12E+07
170487;2,46E+08;3,40E+08;2,50E+09;4,65E+08;8,21E+08;6,12E+07
86;7,73E+07;3,09E+07;1,91E+07;6,64E+07;2,22E+07;2,04E+07
51412;1,71E+09;3,74E+09;1,05E+08;3,12E+09;4,59E+09;3,04E+09
10881;7,03E+05;1,55E+08;2,48E+08;2,21E+06;2,00E+08;9,18E+08
10880;2,37E+09;9,27E+07;1,91E+07;2,21E+06;1,55E+08;3,47E+08
81569;1,90E+09;3,09E+07;1,91E+07;6,64E+07;1,44E+09;2,26E+09
284382;2,34E+07;3,09E+07;5,73E+07;6,64E+07;2,22E+07;7,54E+07
284325;7,73E+07;6,49E+08;2,27E+09;2,21E+06;1,11E+07;2,04E+07
87;1,01E+09;7,51E+09;8,96E+08;1,17E+09;4,01E+09;1,28E+09
88;8,93E+09;1,55E+08;2,24E+09;3,65E+09;6,99E+09;3,61E+09
89;1,66E+09;3,09E+07;1,91E+07;2,21E+06;2,22E+07;2,04E+07
81;6,35E+09;1,51E+09;3,50E+09;6,64E+07;5,54E+08;1,41E+08
55860;2,55E+09;2,63E+09;4,49E+09;6,35E+09;6,65E+07;1,20E+09
10121;1,62E+09;3,99E+09;2,92E+09;2,32E+09;2,22E+07;4,59E+09
10120;2,34E+07;3,09E+07;7,45E+08;5,98E+08;2,20E+09;2,92E+09
10097;2,58E+08;2,22E+09;5,41E+09;7,85E+09;0.00126346128512442;4,41E+09
10096;7,39E+09;1,49E+09;5,16E+08;8,52E+09;5,02E+09;6,63E+09
101060091;2,34E+07;9,27E+07;5,73E+07;1,11E+07;2,00E+08;4,69E+08
57180;6,68E+08;1,08E+09;1,91E+07;1,99E+08;1,57E+09;1,81E+09
