...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABHD17B,5.49118771849944e-5,4.58175030993273e-5,1.3668014370108e-4,1.29616581403038e-5,1.54495783147953e-6,4.40422748780011e-5,ABHD17B,51104
ABHD17C,2.09095048355673e-5,1.40736357642985e-6,1.04391583999052e-5,2.12486199021374e-7,2.20708261639933e-7,6.95404340178965e-6,ABHD17C,58489
ABHD18,1.0689251537434e-4,6.83353203222049e-5,3.1803017450874e-5,1.5936464926603e-5,7.28337263411779e-6,4.1902569215912e-5,ABHD18,80167
ABHD2,2.5814444754938e-4,2.5598379717951e-4,2.35487991811815e-5,1.8550045174565e-4,2.8228586663747e-4,2.6122239958004e-4,ABHD2,11057
ABHD3,1.34836993799452e-5,1.56373730714428e-7,1.21385562789596e-6,9.98685135400456e-6,1.54495783147953e-6,5.17095535004871e-6,ABHD3,171586
ABHD4,2.13003367016526e-5,4.22209072928955e-6,2.42771125579191e-7,2.33734818923511e-6,6.62124784919799e-7,9.45036667422696e-6,ABHD4,63874
ABHD5,5.37393815867383e-5,3.20566147964577e-5,1.1410242902222e-5,5.41839807504503e-5,1.69945361462748e-5,1.24816163621866e-6,ABHD5,51099
ABHD6,3.10711333537869e-5,4.83194827907582e-5,1.0900423538505e-4,4.88718257749159e-6,1.10354130819966e-6,1.3533638312713e-4,ABHD6,57406
ABHD8,1.95415933042685e-7,2.97110088357413e-6,1.57801231626474e-5,2.12486199021374e-7,7.72478915739766e-6,5.88419057074509e-6,ABHD8,79575
ABI1,1.3933156025943e-4,1.8405188105088e-4,8.61837495806129e-5,4.18597812072106e-5,3.5556100950193e-4,1.23033075570125e-5,ABI1,10006
ABI2,8.6471550371388e-4,8.4551276197291e-4,2.6292112900226e-4,3.61226538336335e-6,3.5820950864161e-4,2.3411946119358e-4,ABI2,10152
ABI3,5.84293639797627e-5,9.5387975735801e-6,9.46807389758846e-6,6.16209977161983e-6,4.63487349443859e-6,8.91544025870468e-7,ABI3,51225
ABI3BP,5.86247799128054e-7,1.56373730714428e-7,2.6704823813711e-6,2.76232058727786e-6,2.18501179023534e-5,6.24080818109328e-6,ABI3BP,25890
ABITRAM,1.36791153129879e-6,3.3620352103602e-5,9.95361614874684e-6,1.80613269168168e-5,5.95912306427819e-6,1.60477924656684e-6,ABITRAM,54942
ABL1,5.25668859884822e-5,3.3620352103602e-5,1.5294580911489e-5,2.12486199021374e-7,2.20708261639933e-7,5.88419057074509e-6,ABL1,25
ABL2,9.77079665213423e-7,6.55205931693452e-5,7.1131939794703e-5,7.62825454486731e-5,3.99481953568279e-5,1.3426653029609e-4,ABL2,27
