...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABCD1,6.58752270499492e-7,1.9793542554677e-6,7.5116681244867e-6,1.30310570366997e-5,1.93441391127316e-6,1.37562718773852e-6,ABCD1,215
ABCD2,2.85459317216447e-6,1.79941295951609e-7,2.78209930536545e-7,1.35049136562161e-5,2.14934879030351e-7,1.96518169676932e-7,ABCD2,225
ABCD3,5.99464566154538e-5,9.44691803745946e-5,2.78209930536545e-7,1.5329261641354e-4,2.14934879030351e-7,7.91968223798036e-5,ABCD3,5825
ABCD4,5.92877043449543e-6,8.81712350162883e-6,2.78209930536545e-7,1.01879173196016e-5,6.23311149188019e-6,1.96518169676932e-7,ABCD4,5826
ABCE1,1.53708863116548e-6,1.3549579585156e-4,1.0321588422905e-4,1.58741967537978e-5,1.50454415321246e-6,9.13809488997734e-5,ABCE1,6059
ABCF1,2.92046839921442e-5,2.93304312401122e-5,1.75272256238023e-5,7.1078492927453e-7,5.80324173381949e-6,1.67040444225392e-5,ABCF1,23
ABCF2,1.33946295001563e-5,2.33923684737091e-6,2.75427831231179e-5,1.58741967537978e-5,1.26811578627907e-5,4.12688156321557e-6,ABCF2,10061
ABCF2-H2BK1,2.21779931068162e-5,1.45752449720803e-5,1.0766724311764e-4,4.80964468809099e-5,2.29980320562476e-5,2.25995895128472e-5,ABCF2-H2BK1,114483834
ABCF3,1.33946295001563e-5,2.69911943927413e-6,5.84240854126744e-6,7.81863422201983e-6,5.82473522172252e-5,3.73384522386171e-6,ABCF3,55324
ABCG1,1.2143000186207e-4,8.87110589041431e-5,5.9258715204284e-5,4.99918733589753e-5,4.62109989915255e-5,6.77987685385415e-5,ABCG1,9619
ABCG2,2.04213203854843e-5,8.99706479758044e-7,1.94746951375581e-6,2.15604761879941e-5,6.44804637091054e-7,2.65299529063858e-5,ABCG2,9429
ABCG4,6.80710679516142e-6,1.61947166356448e-6,1.02937674298521e-5,7.1078492927453e-7,1.61201159272764e-5,3.73384522386171e-6,ABCG4,64137
ABCG5,6.58752270499492e-7,1.25958907166126e-6,1.94746951375581e-6,2.60621140733994e-6,1.93441391127316e-6,1.96518169676932e-7,ABCG5,64240
ABCG8,3.29376135249746e-6,2.69911943927413e-6,8.34629791609634e-7,2.36928309758177e-7,6.44804637091054e-7,9.8259084838466e-7,ABCG8,64241
ABHD1,2.19584090166497e-7,2.33923684737091e-6,1.02937674298521e-5,2.60621140733994e-6,2.14934879030351e-7,1.76866352709239e-6,ABHD1,84696
ABHD10,2.19584090166497e-7,3.05900203117735e-6,2.42042639566794e-5,4.288402406623e-5,1.93441391127316e-6,9.80625666687891e-5,ABHD10,55347
ABHD11,1.82254794838193e-5,6.29794535830631e-6,8.65232883968653e-5,1.18464154879088e-6,7.07135752009856e-5,5.30599058127716e-6,ABHD11,83451
ABHD12,5.05043407382944e-6,8.99706479758044e-7,6.64921733982342e-5,6.87092098298713e-6,3.80434735883722e-5,6.15101871088797e-5,ABHD12,26090
ABHD12B,2.19584090166497e-7,5.39823887854826e-7,3.61672909697508e-6,1.54003401342815e-5,4.94350221769808e-6,1.96518169676932e-7,ABHD12B,145447
ABHD13,1.53708863116548e-6,1.79941295951609e-7,2.78209930536545e-7,8.29249084153619e-6,1.56902461692157e-5,1.76866352709239e-6,ABHD13,84945
ABHD14A,7.24627497549442e-6,1.63746579315964e-5,1.41887064573638e-5,4.02778126588901e-6,1.82694647175799e-5,2.16169986644625e-6,ABHD14A,25864
ABHD14B,6.58752270499492e-7,2.33923684737091e-6,1.39104965268272e-6,4.50163788540536e-6,1.07467439515176e-6,9.8259084838466e-7,ABHD14B,84836
ABHD15,5.48960225416244e-6,5.39823887854826e-7,3.61672909697508e-6,2.36928309758177e-7,1.07467439515176e-6,1.76866352709239e-6,ABHD15,116236
ABHD16A,2.19584090166497e-7,8.99706479758044e-7,5.09124172881876e-5,1.35049136562161e-5,7.28629239912891e-5,7.66420861740035e-6,ABHD16A,7920
ABHD16B,3.05221885331431e-5,1.79941295951609e-7,2.78209930536545e-7,7.1078492927453e-7,1.74097252014585e-5,5.89554509030796e-7,ABHD16B,140701
ABHD17A,1.97625681149848e-6,2.69911943927413e-6,2.78209930536545e-7,2.13235478782359e-6,1.09616788305479e-5,2.94777254515398e-6,ABHD17A,81926
ABHD17B,1.73471431231533e-5,1.25958907166126e-6,5.42509364546262e-5,1.58741967537978e-5,9.56460211685064e-5,9.02018398817118e-5,ABHD17B,51104
ABHD17C,3.73292953283046e-6,1.25958907166126e-6,3.03248824284834e-5,2.36928309758177e-7,1.07467439515176e-6,7.66420861740035e-6,ABHD17C,58489
ABHD18,6.36793861482843e-6,2.3932192361564e-5,2.2284615435977e-4,3.29330350563866e-5,4.96499570560112e-5,1.12015356715851e-5,ABHD18,80167
ABHD2,3.7175586465188e-4,5.7059384946255e-4,2.1839479547118e-4,1.8361944006258e-4,7.0928510080016e-6,9.2363539748158e-6,ABHD2,11057
ABHD3,1.03204522378254e-5,1.61947166356448e-6,4.17314895804817e-6,6.87092098298713e-6,6.44804637091054e-7,1.96518169676932e-7,ABHD3,171586
ABHD4,1.33946295001563e-5,1.79941295951609e-7,2.78209930536545e-7,2.6772899002674e-5,2.14934879030351e-7,1.96518169676932e-7,ABHD4,63874
ABHD5,5.29197657301259e-5,9.17700609353205e-6,5.53637761767724e-5,2.25081894270268e-5,8.81233004024441e-6,2.33856621915549e-5,ABHD5,51099
ABHD6,2.04213203854843e-5,5.56018604490471e-5,3.08813022895564e-5,2.6701820509746e-4,1.74097252014585e-5,3.04603162999245e-5,ABHD6,57406
ABHD8,5.05043407382944e-6,1.79941295951609e-7,3.61672909697508e-6,3.55392464637265e-6,1.74097252014585e-5,2.16169986644625e-6,ABHD8,79575
ABI1,3.22788612544751e-5,2.0351360572127e-4,2.0003294005577e-4,2.29820460465431e-5,1.296057320553e-4,1.4090352765836e-4,ABI1,10006
ABI2,5.6455069581806e-4,0.00122809934486973,2.0504071880543e-4,3.2861956563459e-4,1.4121221552294e-4,2.1990383186848e-4,ABI2,10152
ABI3,6.58752270499492e-7,8.99706479758044e-7,6.95524826341361e-6,1.8717336470896e-5,3.9762952620615e-5,1.39527900470622e-5,ABI3,51225
ABI3BP,8.5637795164934e-6,4.85841499069344e-6,1.41887064573638e-5,2.36928309758177e-7,2.79415342739457e-6,1.96518169676932e-7,ABI3BP,25890
ABITRAM,2.19584090166497e-7,1.60147753396932e-5,2.1978584512387e-5,1.30310570366997e-5,2.79415342739457e-6,1.74901171012469e-5,ABITRAM,54942
ABL1,6.03856247957868e-5,1.96136012587254e-5,3.75583406224335e-5,1.11356305586343e-5,6.23311149188019e-6,5.69902692063103e-6,ABL1,25
ABL2,2.52521703691472e-5,1.2182025735923e-4,3.31069817338488e-5,1.6845602823806e-4,1.48305066530942e-5,1.70970807618931e-5,ABL2,27
ABLIM1,2.17388249264832e-5,1.1858131403211e-4,7.48384713143305e-5,2.36928309758177e-7,2.2030825100611e-4,1.4444085471254e-4,ABLIM1,3983
ABLIM2,1.4514508360005e-4,8.61918807608206e-5,9.43131664518886e-5,7.1078492927453e-7,1.7302257761943e-4,2.77090619244474e-5,ABLIM2,84448
ABLIM3,1.53708863116548e-6,8.65517633527238e-5,2.75427831231179e-5,3.0800680268563e-6,2.94460784271581e-5,5.89554509030796e-7,ABLIM3,22885
ABO,8.7636010385449e-4,1.79941295951609e-7,4.392934803172e-4,2.1773711666776e-4,1.5195895947445e-4,3.16394253179861e-5,ABO,28
ABR,6.25814656974518e-5,4.37257349162409e-5,4.36789590942375e-5,1.01879173196016e-5,1.9365632600634e-4,7.64455680043265e-5,ABR,29
ABRA,4.61126589349645e-6,1.61947166356448e-6,1.69708057627292e-5,1.18464154879088e-6,3.65389294351597e-6,5.89554509030796e-7,ABRA,137735
ABRACL,4.17209771316345e-6,7.37759313401596e-6,2.5038893748289e-6,9.71406070008525e-6,1.50454415321246e-6,3.73384522386171e-6,ABRACL,58527
ABRAXAS1,6.58752270499492e-7,6.92773989413694e-5,1.2102131978339e-4,1.49264835147651e-5,1.50454415321246e-6,2.25995895128472e-5,ABRAXAS1,84142
ABRAXAS2,1.25162931394904e-5,2.17728968101447e-5,5.28598868019435e-6,1.01879173196016e-5,1.05318090724872e-5,9.8259084838466e-7,ABRAXAS2,23172
ABT1,2.19584090166497e-7,1.9793542554677e-6,1.39104965268272e-6,2.36928309758177e-7,1.69798554433978e-5,1.96518169676932e-7,ABT1,29777
ABTB1,3.53530385168061e-5,2.32124271777575e-5,5.20252570103338e-5,2.10866195684777e-5,1.1241094173287e-4,1.4345826386416e-5,ABTB1,80325
ABTB2,6.08247929761198e-5,1.9793542554677e-6,2.5038893748289e-6,1.58741967537978e-5,2.42876413304297e-5,2.10274441554317e-5,ABTB2,25841
ABTB3,5.48960225416244e-6,5.93806276640309e-6,4.17314895804817e-6,2.36928309758177e-7,5.37337197575878e-6,2.16169986644625e-6,ABTB3,121551
ACAA1,1.8906190163335e-4,7.64750507794337e-5,5.14688371492607e-5,5.37827263151061e-5,1.50454415321246e-6,3.59628250508786e-5,ACAA1,30
ACAA2,1.11987885984914e-5,8.45724090972561e-6,1.2658551839412e-4,3.55392464637265e-6,1.3906286673263e-4,2.2992625852201e-5,ACAA2,10449
ACACA,2.43738340084812e-5,2.03333664425318e-5,2.78209930536545e-7,9.59559654520616e-5,3.63239945561294e-5,3.16394253179861e-5,ACACA,31
ACACB,0.00123384300264555,1.02566538692417e-5,4.3595496115076e-4,0.00220461792229983,4.2019768850433e-4,5.9210924523659e-4,ACACB,32
ACAD10,8.71748837960995e-5,9.89677127733848e-6,2.08657447902408e-5,7.1078492927453e-7,5.39486546366182e-5,1.27736810290006e-5,ACAD10,80724
ACAD11,1.95429840248183e-5,1.45752449720803e-5,3.75583406224335e-5,4.288402406623e-5,6.23311149188019e-6,6.66196595204799e-5,ACAD11,84129
ACAD8,6.58752270499492e-7,7.37759313401596e-6,5.84240854126744e-6,5.92320774395442e-6,2.14934879030351e-7,5.89554509030796e-7,ACAD8,27034
ACAD9,1.09792045083249e-6,1.79941295951609e-7,2.78209930536545e-7,2.60621140733994e-6,1.31110276208514e-5,1.74901171012469e-5,ACAD9,28976
ACADL,4.61126589349645e-6,1.79941295951609e-7,9.18092770770597e-6,2.36928309758177e-7,4.94350221769808e-6,5.89554509030796e-7,ACADL,33
ACADM,1.97625681149848e-6,1.79941295951609e-7,4.72956881912126e-6,1.39787702757324e-5,2.14934879030351e-7,2.55473620580012e-6,ACADM,34
ACADS,3.9744720320136e-5,3.41888462308057e-6,4.75738981217491e-5,2.20343328075104e-5,2.17084227820655e-5,1.39527900470622e-5,ACADS,35
ACADSB,2.19584090166497e-7,1.25958907166126e-6,8.62450784663288e-6,2.13235478782359e-6,1.50454415321246e-6,6.09206325998489e-6,ACADSB,36
ACADVL,1.86646476641523e-5,4.138649806887e-6,2.53171036788256e-5,1.0661773939118e-5,6.44804637091054e-7,1.31667173683544e-5,ACADVL,37
