...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABCD4,7.61122461619281e-6,5.63591813381924e-6,7.45404580759617e-6,1.53435837565321e-6,5.08645274176758e-7,1.25923131025994e-5,ABCD4,5826
ABCE1,1.6311899030389e-4,7.8319827859626e-5,4.74348369574302e-6,2.09695644672605e-5,1.00033570588096e-5,4.00664507809982e-5,ABCE1,6059
ABCF1,1.04467788849705e-6,2.13776205075902e-6,1.15198889753759e-5,6.64888629449725e-6,6.0189690777583e-5,2.90767957096387e-5,ABCF1,23
ABCF2,1.49239698356722e-7,3.30381407844576e-6,9.26108721549827e-6,3.63131482237926e-5,1.69548424725586e-7,1.12186062186795e-5,ABCF2,10061
ABCF2-H2BK1,1.49239698356722e-7,5.24723412459033e-6,2.25880175987763e-7,5.50664172595541e-5,9.74903442172119e-5,4.96823989684377e-5,ABCF2-H2BK1,114483834
ABCF3,3.4325130622046e-6,2.77909066598673e-5,6.77640527963288e-7,2.64250609140275e-5,2.20412952143262e-6,1.80871406382792e-5,ABCF3,55324
ABCG1,9.40210099647347e-6,8.99803481364934e-5,1.10681286234004e-5,1.3485305279352e-4,7.81618237984951e-5,6.38773701022771e-5,ABCG1,9619
ABCG2,2.22367150551515e-5,3.12890627429275e-5,2.25880175987763e-7,7.33082335034312e-6,1.69548424725586e-7,6.86853441959968e-7,ABCG2,9429
ABCG4,1.49239698356722e-7,3.20664307613853e-5,2.25880175987763e-7,5.11452791884403e-7,8.47742123627929e-7,1.07607039240395e-5,ABCG4,64137
ABCG5,1.49239698356722e-7,2.91513006921685e-6,2.48468193586539e-6,2.21629543149908e-6,1.69548424725586e-7,2.28951147319989e-7,ABCG5,64240
ABCG8,2.53707487206427e-6,2.91513006921685e-6,2.48468193586539e-6,1.70484263961468e-7,1.69548424725586e-7,6.86853441959968e-7,ABCG8,64241
ABHD1,7.46198491783608e-7,1.74907804153011e-6,2.25880175987763e-7,9.71760304580367e-6,1.52593582253027e-6,2.97636491515986e-6,ABHD1,84696
